model,model_mtime,diagnostic_plot,plot_mtime,status
02_pam_lmer.rds,2026-06-25T17:20:32Z,K_02_pam_lmer_dharma.png,2026-06-25T16:05:27Z,STALE
12_bw_lm.rds,2026-06-25T17:22:38Z,A_bw_dharma.png,2026-06-25T17:23:37Z,CURRENT
12_bw_pct_lm.rds,2026-06-25T17:22:39Z,growth_pct.png,2026-06-25T17:22:39Z,CURRENT
12_color_lmm.rds,2026-06-25T17:22:37Z,A_color_dharma.png,2026-06-25T17:23:27Z,CURRENT
12_morph_hole_in_center_glmm.rds,2026-06-25T17:23:00Z,B_hole_in_center.png,2026-06-25T17:23:39Z,CURRENT
12_morph_new_corallites_on_tip_glmm.rds,2026-06-25T17:23:00Z,B_new_corallites_on_tip.png,2026-06-25T17:24:14Z,CURRENT
12_morph_pigment_over_wound_glmm.rds,2026-06-25T17:23:00Z,B_pigment_over_wound.png,2026-06-25T17:24:14Z,CURRENT
12_morph_polyp_in_hole_glmm.rds,2026-06-25T17:23:00Z,B_polyp_in_hole.png,2026-06-25T17:24:15Z,CURRENT
12_morph_polyps_out_glmm.rds,2026-06-25T17:23:00Z,B_polyps_out.png,2026-06-25T17:24:16Z,CURRENT
12_morph_tip_exist_glmm.rds,2026-06-25T17:23:00Z,B_tip_exist.png,2026-06-25T17:24:17Z,CURRENT
12_morph_tip_extension_glmm.rds,2026-06-25T17:23:00Z,B_tip_extension.png,2026-06-25T17:24:17Z,CURRENT
12_morph_wound_smoothed_glmm.rds,2026-06-25T17:23:00Z,B_wound_smoothed.png,2026-06-25T17:24:18Z,CURRENT
12_pam_lmm.rds,2026-06-25T17:22:37Z,A_pam_dharma.png,2026-06-25T17:23:17Z,CURRENT
12_zoox_lmm.rds,2026-06-25T17:22:39Z,A_zoox_dharma.png,2026-06-25T17:23:37Z,CURRENT
12b_color_clmm.rds,2026-06-25T17:23:01Z,G_12b_color_clmm_observed.png,2026-06-25T17:24:32Z,BUILT
12c_morph_hole_in_center_blme.rds,2026-06-13T14:02:05Z,G_12c_morph_hole_in_center_blme_dharma.png,2026-06-25T17:24:27Z,BUILT
12c_morph_new_corallites_on_tip_blme.rds,2026-06-25T17:23:10Z,G_12c_morph_new_corallites_on_tip_blme_dharma.png,2026-06-25T17:24:28Z,BUILT
12c_morph_pigment_over_wound_blme.rds,2026-06-25T17:23:04Z,G_12c_morph_pigment_over_wound_blme_dharma.png,2026-06-25T17:24:29Z,BUILT
12c_morph_polyp_in_hole_blme.rds,2026-06-13T14:02:05Z,G_12c_morph_polyp_in_hole_blme_dharma.png,2026-06-25T17:24:29Z,BUILT
12c_morph_polyps_out_blme.rds,2026-06-25T17:23:03Z,G_12c_morph_polyps_out_blme_dharma.png,2026-06-25T17:24:30Z,BUILT
12c_morph_tip_exist_blme.rds,2026-06-13T14:02:33Z,G_12c_morph_tip_exist_blme_dharma.png,2026-06-25T17:24:31Z,BUILT
12c_morph_tip_extension_blme.rds,2026-06-13T14:02:57Z,G_12c_morph_tip_extension_blme_dharma.png,2026-06-25T17:24:31Z,BUILT
12c_morph_wound_smoothed_blme.rds,2026-06-13T14:02:07Z,G_12c_morph_wound_smoothed_blme_dharma.png,2026-06-25T17:24:32Z,BUILT
13_color_dscale_genet_lmm.rds,2026-06-25T17:23:10Z,K_13_color_dscale_genet_lmm_dharma.png,2026-06-25T16:05:28Z,STALE
13_growth_genet_lmm.rds,2026-06-25T17:23:10Z,K_13_growth_genet_lmm_dharma.png,2026-06-25T16:05:28Z,STALE
13_log_zoox_genet_lmm.rds,2026-06-25T17:23:10Z,K_13_log_zoox_genet_lmm_dharma.png,2026-06-25T16:05:28Z,STALE
13_pam_fvfm_genet_lmm.rds,2026-06-25T17:23:10Z,K_13_pam_fvfm_genet_lmm_dharma.png,2026-06-25T16:05:28Z,STALE
