description,domain,response,model_type,term,test,statistic,df1,df2,n,estimate,units,pct_change,ci_low,ci_high,p_value,qualitative,source_script,source_artifact
"Confirmatory / exploratory testing: a priori (confirmatory) — color_dscale : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),color_dscale : treatment:day,reported p,0,NA,NA,NA,0,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999 (heat-driven paling)),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — growth_areal : treatment (tank permutation) [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),growth_areal : treatment (tank permutation),reported p,0.0571,NA,NA,NA,0.0571,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.0571,a priori (confirmatory); n.s. (rationale: Jokiel & Coles 1977 (heat reduces calcification); tank-level permutation p),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — log_zoox_density : treatment:biopsy_day_c [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),log_zoox_density : treatment:biopsy_day_c,reported p,0,NA,NA,NA,0,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999; Jokiel & Coles 1990 (symbiont loss)),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:new_corallites_on_tip : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:new_corallites_on_tip : treatment,reported p,0,NA,NA,NA,0,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0,a priori (confirmatory); significant (rationale: central hypothesis: heat impairs tip regeneration),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — pam_fvfm : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),pam_fvfm : treatment:day,reported p,0,NA,NA,NA,0,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0,a priori (confirmatory); significant (rationale: Warner et al. 1999 (heat lowers Fv/Fm)),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:new_corallites_on_tip : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:new_corallites_on_tip : 31C vs 28C,reported p,0,NA,NA,NA,0,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0,a priori (confirmatory); significant (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:tip_exist : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:tip_exist : 31C vs 28C,reported p,0.0356,NA,NA,NA,0.0356,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.0356,a priori (confirmatory); significant (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:tip_extension : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:tip_extension : 31C vs 28C,reported p,0.1803,NA,NA,NA,0.1803,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.1803,a priori (confirmatory); n.s. (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — morph:pigment_over_wound : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:pigment_over_wound : treatment,reported p,0.9996,NA,NA,NA,0.9996,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.9996,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
"Confirmatory / exploratory testing: exploratory — morph:polyps_out : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:polyps_out : treatment,reported p,0.9996,NA,NA,NA,0.9996,"p (raw if a priori, BH if exploratory)",NA,NA,NA,0.8546,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/sensitivity/28_multiple_testing.R,output/tables/28_multiple_testing.csv
