Description,Domain,Response,Model,Term,Test,Statistic,df,N,Estimate,% change,95% CI,p,Interpretation,Source
"Confirmatory / exploratory testing: a priori (confirmatory) — color_dscale : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),color_dscale : treatment:day,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999 (heat-driven paling)),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — cox:new_corallites_on_tip : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),cox:new_corallites_on_tip : 31C vs 28C,reported p,0.01,NA,NA,"0.009 p (raw if a priori, BH if exploratory)",NA,NA,0.009,a priori (confirmatory); significant (rationale: central hypothesis: heat delays/prevents tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — cox:tip_exist : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),cox:tip_exist : 31C vs 28C,reported p,0.37,NA,NA,"0.368 p (raw if a priori, BH if exploratory)",NA,NA,0.368,a priori (confirmatory); n.s. (rationale: central hypothesis: heat delays/prevents tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — cox:tip_extension : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),cox:tip_extension : 31C vs 28C,reported p,0.61,NA,NA,"0.613 p (raw if a priori, BH if exploratory)",NA,NA,0.613,a priori (confirmatory); n.s. (rationale: central hypothesis: heat delays/prevents tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — growth_areal : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),growth_areal : treatment,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Jokiel & Coles 1977 (heat reduces calcification)),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — log_zoox_density : treatment:biopsy_day_c [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),log_zoox_density : treatment:biopsy_day_c,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999; Jokiel & Coles 1990 (symbiont loss)),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:new_corallites_on_tip : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:new_corallites_on_tip : treatment,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: central hypothesis: heat impairs tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:tip_exist : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:tip_exist : treatment,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: central hypothesis: heat impairs tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:tip_extension : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:tip_extension : treatment,reported p,0.22,NA,NA,"0.215 p (raw if a priori, BH if exploratory)",NA,NA,0.215,a priori (confirmatory); n.s. (rationale: central hypothesis: heat impairs tip regeneration),code/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — pam_fvfm : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),pam_fvfm : treatment:day,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Warner et al. 1999 (heat lowers Fv/Fm)),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — cox:hole_in_center : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),cox:hole_in_center : 31C vs 28C,reported p,0.62,NA,NA,"0.615 p (raw if a priori, BH if exploratory)",NA,NA,0.447,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — cox:pigment_over_wound : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),cox:pigment_over_wound : 31C vs 28C,reported p,0.62,NA,NA,"0.615 p (raw if a priori, BH if exploratory)",NA,NA,0.475,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — cox:polyp_in_hole : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),cox:polyp_in_hole : 31C vs 28C,reported p,0.62,NA,NA,"0.615 p (raw if a priori, BH if exploratory)",NA,NA,0.447,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — cox:wound_smoothed : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),cox:wound_smoothed : 31C vs 28C,reported p,0.62,NA,NA,"0.615 p (raw if a priori, BH if exploratory)",NA,NA,0.252,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — morph:hole_in_center : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:hole_in_center : treatment,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,exploratory; significant (rationale: no a-priori prediction for this closure/incidental trait),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — morph:pigment_over_wound : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:pigment_over_wound : treatment,reported p,0.62,NA,NA,"0.615 p (raw if a priori, BH if exploratory)",NA,NA,0.479,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — morph:polyp_in_hole : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:polyp_in_hole : treatment,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,exploratory; significant (rationale: no a-priori prediction for this closure/incidental trait),code/28_multiple_testing.R
